sku,name,customerReviewAverage,customerReviewCount,customerTopRated,manufacturer,class,condition
6550232,"Geek Squad Certified Refurbished MacBook Air 13.6"" Laptop - Apple M2 chip - 8GB Memory - 512GB SSD - Midnight",4.3,40.0,False,Apple,APPLE LAPTOP,Refurbished
6550237,"Geek Squad Certified Refurbished MacBook Pro 13.3"" Laptop - Apple M2 chip - 8GB Memory - 256GB SSD - Silver",4.5,45.0,False,Apple,APPLE LAPTOP,Refurbished
6550245,"Geek Squad Certified Refurbished MacBook Pro 13.3"" Laptop - Apple M2 chip - 8GB Memory - 512GB SSD - Silver",3.9,21.0,False,Apple,APPLE LAPTOP,Refurbished
6550250,"Geek Squad Certified Refurbished MacBook Pro 13.3"" Laptop - Apple M2 chip - 16GB Memory - 512GB SSD - Space Gray",3.5,4.0,False,Apple,APPLE LAPTOP,Refurbished
6550253,"Geek Squad Certified Refurbished MacBook Pro 13.3"" Laptop - Apple M2 chip - 16GB Memory - 1TB SSD - Space Gray",,,,Apple,APPLE LAPTOP,Refurbished
6550736,"Lenovo - Flex 5i Chromebook Plus Laptop with Gemini - 14"" 2K Touch - Intel i3 - 8GB RAM - Intel UHD Graphics - 128GB SSD - Storm Grey",4.3,414.0,False,Lenovo,CHROME,New
6551126,"Acer - Swift X 16 – OLED 16"" 3200x2000 120Hz HDR500 Laptop – AMD Ryzen 9 7940HS with 16GB LPDDR5– GeForce RTX 4050 –1TB SSD - Steel Gray",3.0,2.0,False,Acer,SO LAPTOPS,New
6551405,Apple - MacBook Air 15-inch Laptop - Apple M4 chip Built for Apple Intelligence - 16GB Memory - 512GB SSD - Sky Blue,4.9,521.0,True,Apple,APPLE LAPTOP,New
6551408,Apple - MacBook Air 15-inch Laptop - Apple M4 chip Built for Apple Intelligence - 24GB Memory - 512GB SSD - Sky Blue,4.9,386.0,True,Apple,APPLE LAPTOP,New
6551409,"Apple - MacBook Pro 14"" Laptop - M3 chip Built for Apple Intelligence - 8GB Memory - 10-core GPU - 1TB SSD - Silver",4.8,275.0,True,Apple,APPLE LAPTOP,New
6551410,Apple - MacBook Air 13-inch Laptop - Apple M4 chip Built for Apple Intelligence - 16GB Memory - 256GB SSD - Silver,4.9,4103.0,True,Apple,APPLE LAPTOP,New
6551412,Apple - MacBook Air 13-inch Laptop - Apple M4 chip Built for Apple Intelligence - 16GB Memory - 512GB SSD - Silver,4.9,1005.0,True,Apple,APPLE LAPTOP,New
6552870,"Apple - MacBook Air 15"" Laptop - M2 chip - 16GB Memory - 1TB SSD - Midnight",4.9,71.0,True,Apple,APPLE LAPTOP,New
6553105,"HP - 15.6"" Full HD Chromebook Plus Laptop with Google AI - Intel Core i3 - 8GB Memory - 128GB UFS - Mineral Silver",4.6,461.0,True,HP,CHROME,New
6553407,"MSI - Stealth 14"" 165hz Gaming Laptop FHD+ - Intel Core i7 13620H with 16GB RAM-NVIDIA GeForce RTX 4050- 512GB SSD - Star Blue",4.0,7.0,False,MSI,SO LAPTOPS,New
6556731,"Apple - Geek Squad Certified Refurbished MacBook Pro - 13"" Display with Touch Bar - Intel Core i5 - 8GB Memory - 256GB SSD - Space Gray",4.4,27.0,False,Apple,APPLE LAPTOP,Refurbished
6556734,"Apple - Geek Squad Certified Refurbished MacBook Air 11.6"" Display 4GB Memory 128GB Flash Storage - Silver",,,,Apple,APPLE LAPTOP,Refurbished
6556904,"Apple - Geek Squad Certified Refurbished Macbook - 12"" Display - Intel Core M3 - 8GB Memory - 256GB Flash Storage - Gold",5.0,1.0,False,Apple,APPLE LAPTOP,Refurbished
6556907,"Apple - Geek Squad Certified Refurbished MacBook Air 13.3"" Display 4GB Memory 256GB Flash Storage - Silver",,,,Apple,APPLE LAPTOP,Refurbished
